,Heat
1184,4.658198086
1185,5.157062474
1186,5.533731372
1187,5.810181427
1188,6.146393378
1189,6.439055662
1190,6.540202909
1191,6.515733591
1192,6.450422539
1193,6.375719934
1194,6.266208574
1195,6.046666909
1196,5.549378663
1197,4.415859924
1198,3.957442584
1199,3.48689563
1200,3.22636293
1201,3.093537203
1202,3.138855908
1203,3.255176572
1204,3.434171278
1205,3.627746037
1206,3.885207932
1207,4.16993265
1208,4.148768143
1209,4.542585242
1210,5.037491685
1211,5.438110797
1212,6.189419488
1213,7.631379949
1214,8.663395428
1215,8.925448292
1216,8.539310277
1217,7.640083687
1218,6.488936336
1219,5.616365716
1220,4.893036704
1221,4.586003738
1222,4.392169292
1223,4.172123607
1224,4.077938539
1225,4.010129808
1226,3.945291398
1227,3.87993711
1228,3.822526305
1229,3.813644073
1230,3.901866239
1231,4.111431903
1232,4.487592354
1233,4.968185917
1234,5.331059379
1235,5.597384496
1236,5.921282741
1237,6.203226317
1238,6.300669063
1239,6.27709593
1240,6.214176884
1241,6.14221025
1242,6.036709725
1243,5.825208737
1244,5.34613359
1245,4.254129787
1246,3.812501906
1247,3.359188656
1248,2.94640611
1249,3.021454328
1250,3.078666837
1251,3.129065402
1252,3.190903966
1253,3.266154743
1254,3.369023693
1255,3.473249725
1256,3.658581666
1257,3.923549897
1258,4.253001627
1259,4.704531027
1260,5.301644412
1261,6.311546163
1262,7.00760173
1263,7.002332193
1264,6.771048642
1265,6.401402913
1266,6.043607879
1267,5.718214944
1268,5.332152067
1269,5.127192885
1270,5.043576485
1271,5.025313639
1272,5.036879267
1273,5.079964928
1274,5.021553826
1275,5.103277783
1276,5.231493349
1277,5.383290246
1278,5.520027942
1279,5.698524498
1280,5.856910726
1281,6.022434957
1282,6.178290164
1283,6.255027698
1284,6.211254914
1285,6.100953243
1286,5.929681427
1287,5.761171766
1288,5.657636547
1289,5.642071833
1290,5.55579699
1291,5.141322713
1292,4.608306478
1293,3.864634894
1294,3.168814604
1295,2.871357892
1296,2.749404906
1297,2.819435286
1298,2.87282248
1299,2.919851319
1300,2.977555263
1301,3.047774658
1302,3.143765634
1303,3.241022954
1304,3.413963319
1305,3.661215371
1306,3.968639455
1307,4.389978911
1308,4.947168385
1309,5.889546566
1310,6.539062797
1311,6.534145589
1312,6.318326009
1313,5.973395356
1314,5.639523044
1315,5.335886376
1316,4.975636251
1317,4.784380954
1318,4.706355273
1319,4.689313509
1320,4.700105842
1321,4.740310729
1322,4.685805083
1323,4.762064851
1324,4.881707729
1325,5.023355254
1326,5.150950459
1327,5.317512464
1328,5.465308747
1329,5.619765776
1330,5.765200266
1331,5.836807011
1332,5.795960942
1333,5.693034209
1334,5.533213888
1335,5.37597104
1336,5.279358344
1337,5.26483431
1338,5.184327935
1339,4.79756604
1340,4.300188083
1341,3.606239514
1342,2.956942829
1343,2.679374526
1344,3.159946523
1345,3.029855086
1346,3.074240881
1347,3.188167022
1348,3.363477026
1349,3.553066944
1350,3.805228849
1351,4.084092357
1352,4.063363532
1353,4.449073696
1354,4.933792225
1355,5.326164378
1356,6.062006978
1357,7.474283912
1358,8.485054801
1359,8.741713166
1360,8.363524008
1361,7.482808479
1362,6.355358111
1363,5.500749825
1364,4.792310927
1365,4.491598399
1366,4.301754139
1367,4.086238211
1368,3.993991994
1369,3.927579142
1370,3.864075465
1371,3.800066529
1372,3.743837557
1373,3.735138171
1374,3.821544236
1375,4.026795879
1376,4.395212866
1377,4.865913153
1378,5.221316671
1379,5.482159343
1380,5.799389969
1381,6.075529586
1382,6.170966421
1383,6.147878554
1384,6.08625473
1385,6.015769567
1386,5.912440827
1387,5.7052937
1388,5.236080571
1389,4.166556251
1390,3.734019515
1391,3.290037961
1392,3.349556887
1393,3.211659405
1394,3.258708538
1395,3.379470737
1396,3.565300094
1397,3.766266222
1398,4.033558924
1399,4.32915544
1400,4.307182796
1401,4.716037227
1402,5.229840949
1403,5.645757117
1404,6.425753434
1405,7.922773049
1406,8.994194533
1407,9.266253502
1408,8.865371371
1409,7.931809127
1410,6.736706895
1411,5.83081844
1412,5.079870166
1413,4.761113595
1414,4.559877864
1415,4.331430055
1416,4.233648668
1417,4.16325076
1418,4.095936589
1419,4.028086843
1420,3.96848389
1421,3.959262504
1422,4.050853305
1423,4.268420927
1424,4.658944516
1425,5.157888842
1426,5.534618097
1427,5.81111245
1428,6.147378276
1429,6.440087456
1430,6.541250911
1431,6.516777673
1432,6.451456154
1433,6.37674158
1434,6.267212671
1435,6.047635827
1436,5.550267895
1437,4.416567522
1438,3.958076724
1439,3.48745437
1440,3.515678435
1441,3.370941916
1442,3.420324455
1443,3.547075865
1444,3.742121444
1445,3.953054504
1446,4.233603609
1447,4.543860259
1448,4.52079788
1449,4.949929479
1450,5.48921534
1451,5.925758904
1452,6.744439202
1453,8.315703628
1454,9.440262348
1455,9.725814104
1456,9.305050191
1457,8.32518785
1458,7.070814425
1459,6.119998359
1460,5.331806743
1461,4.997241414
1462,4.78602538
1463,4.546247683
1464,4.44361682
1465,4.369727522
1466,4.2990749
1467,4.22786014
1468,4.165301174
1469,4.155622452
1470,4.251755706
1471,4.480113612
1472,4.89000525
1473,5.413694762
1474,5.809107935
1475,6.099315048
1476,6.452258005
1477,6.759484121
1478,6.865664786
1479,6.839977795
1480,6.771416651
1481,6.692996601
1482,6.578035597
1483,6.347568821
1484,5.825533886
1485,4.63560755
1486,4.154377864
1487,3.660414955
1488,4.149247054
1489,3.978427228
1490,4.036709109
1491,4.186302687
1492,4.416497886
